name,id,class,mass,fall,year,latitude,longitude,class_cat
Bruderheim,5156,L6,303.0,Fell,1960,53.9,-112.88333,Stony Meteorites - Chondrites
Tianlin,23983,"Iron, IAB complex",300.0,Found,1956,24.3,106.1,Iron Meteorites - Category I
Putinga,18905,L6,300.0,Fell,1937,-29.03333,-53.05,Stony Meteorites - Chondrites
Mocs,16709,L5-6,300.0,Fell,1882,46.8,24.03333,Stony Meteorites - Chondrites
North Chile,17001,"Iron, IIAB",300.0,Found,1875,-23.0,-69.0,Iron Meteorites - Category I
Morland,16746,H6,295.0,Found,1890,39.33333,-100.06667,Stony Meteorites - Chondrites
Morasko,16741,"Iron, IAB-MG",290.0,Found,1914,52.46667,16.9,Iron Meteorites - Category I
Bur-Abor,5166,"Iron, IIIAB",290.0,Found,1997,3.98333,41.65,Iron Meteorites - Category I
Estacado,10057,H6,290.0,Found,1883,33.9,-101.75,Stony Meteorites - Chondrites
Clovis (no. 1),5385,H3.6,283.0,Found,1961,34.3,-103.13472,Stony Meteorites - Chondrites
Rio Limay,22609,L5,280.0,Found,1995,-39.85,-69.48333,Stony Meteorites - Chondrites
Sanclerlandia,23132,"Iron, IIIAB",279.0,Found,1971,-16.21667,-50.3,Iron Meteorites - Category I
South Dahna,23677,"Iron, IAB complex",275.0,Found,1957,22.56667,48.3,Iron Meteorites - Category I
Mount Padbury,16785,Mesosiderite-A1,272.0,Found,1964,-25.66667,118.1,Stony-Iron Meteorites - Mesosiderites
Saint-Séverin,23102,LL6,271.0,Fell,1966,45.3,0.23333,Stony Meteorites - Chondrites
Lake Murray,12446,"Iron, IIAB",270.0,Found,1933,34.1,-97.0,Iron Meteorites - Category I
Miles,16641,"Iron, IIE",265.0,Found,1992,-27.83333,150.33333,Iron Meteorites - Category II
Potter,18878,L6,261.0,Found,1941,41.23333,-103.3,Stony Meteorites - Chondrites
Tishomingo,24010,"Iron, ungrouped",260.0,Found,1965,34.25,-96.68333,Iron Meteorites - Category U (Uncategorized)
Suizhou,23738,L6,260.0,Fell,1986,31.61667,113.46667,Stony Meteorites - Chondrites
Dalgety Downs,5507,L4,257.0,Found,1941,-25.33333,116.18333,Stony Meteorites - Chondrites
Boguslavka,5098,"Iron, IIAB",256.0,Fell,1916,44.55,131.63333,Iron Meteorites - Category I
Dhofar 020,6719,H4/5,256.0,Found,2000,19.03333,54.51667,Stony Meteorites - Chondrites
Uegit,24105,"Iron, IIIAB",252.0,Found,1921,3.81667,43.33333,Iron Meteorites - Category I
Netschaëvo,16949,"Iron, IIE-an",250.0,Found,1846,54.23333,35.15,Iron Meteorites - Category II
Omolon,18019,"Pallasite, PMG",250.0,Fell,1981,64.02,161.80833,Stony-Iron Meteorites - Pallasites
Pultusk,18901,H5,250.0,Fell,1868,52.76667,21.26667,Stony Meteorites - Chondrites
Shangdu,23523,"Iron, IIIAB",247.0,Found,1957,42.5,114.0,Iron Meteorites - Category I
St. Genevieve County,23086,"Iron, IIIF",244.5,Found,1888,37.96667,-90.31667,Other Categories
El Hammami,7806,H5,240.0,Found,1997,23.28333,-10.81667,Stony Meteorites - Chondrites
Sacramento Mountains,22794,"Iron, IIIAB",237.2,Found,1890,32.91667,-104.66667,Iron Meteorites - Category I
Muonionalusta,16873,"Iron, IVA",230.0,Found,1906,67.8,23.1,Iron Meteorites - Category IV
New Concord,16953,L6,230.0,Fell,1860,40.0,-81.76667,Stony Meteorites - Chondrites
Homestead,11901,L5,230.0,Fell,1875,41.8,-91.86667,Stony Meteorites - Chondrites
Alfianello,466,L6,228.0,Fell,1883,45.26667,10.15,Stony Meteorites - Chondrites
Bear Creek,4982,"Iron, IIIAB",227.0,Found,1866,39.6,-105.3,Iron Meteorites - Category I
Holbrook,11894,L/LL6,220.0,Fell,1912,34.9,-110.18333,Stony Meteorites - Chondrites
Youxi,55793,Mesosiderite-C,218.0,Found,2006,26.06,118.01,Stony-Iron Meteorites - Mesosiderites
Acuña,373,"Iron, IIIAB",217.7,Found,1981,29.31667,-100.96667,Iron Meteorites - Category I
Ssyromolotovo,23694,"Iron, IIIAB",217.0,Found,1873,58.61667,98.93333,Iron Meteorites - Category I
Chinga,5353,"Iron, ungrouped",209.4,Found,1913,51.05833,94.4,Iron Meteorites - Category U (Uncategorized)
Liangcheng,14645,"Iron, IIIAB",200.0,Found,1959,40.5,112.5,Iron Meteorites - Category I
Dimmitt,7645,H3.7,200.0,Found,1942,34.58333,-102.16667,Stony Meteorites - Chondrites
Jiddat al Harasis 055,12119,L4-5,200.0,Found,2004,19.65167,55.69,Stony Meteorites - Chondrites
Kainsaz,12229,CO3.2,200.0,Fell,1937,55.43333,53.25,Stony Meteorites - Achondrites
Saratov,23176,L4,200.0,Fell,1918,52.55,46.55,Stony Meteorites - Chondrites
Barratta,4951,L4,200.0,Found,1845,-35.3,144.56667,Stony Meteorites - Chondrites
Kunashak,12377,L6,200.0,Fell,1949,55.78333,61.36667,Stony Meteorites - Chondrites
Patos de Minas (octahedrite),18114,"Iron, IAB complex",200.0,Found,1925,-18.58333,-46.53333,Iron Meteorites - Category I
Porto Alegre,52091,"Iron, IIIE",200.0,Found,2005,-30.03306,-51.23,Iron Meteorites - Category II
Pallasovka,34061,"Pallasite, PMG",198.0,Found,1990,49.86667,46.61167,Stony-Iron Meteorites - Pallasites
Kenton County,12280,"Iron, IIIAB",194.0,Found,1889,38.81667,-84.6,Iron Meteorites - Category I
Owens Valley,18061,"Iron, IIIAB",192.8,Found,1913,37.46667,-118.0,Iron Meteorites - Category I
Guanghua,11434,"Iron, IVA",190.0,Found,1932,32.4,111.7,Iron Meteorites - Category IV
Admire,380,"Pallasite, PMG",180.0,Found,1881,38.7,-96.1,Stony-Iron Meteorites - Pallasites
Travis County (a),24040,H5,175.4,Found,1889,30.3,-97.7,Stony Meteorites - Chondrites
Zag,30384,H3-6,175.0,Fell,1998,27.33333,-9.33333,Stony Meteorites - Chondrites
Iron Creek,12047,"Iron, IIIAB",175.0,Found,1869,53.0,-112.0,Iron Meteorites - Category I
Tanokami Mountain,23872,"Iron, IIIE",174.0,Found,1885,34.91667,135.96667,Iron Meteorites - Category II
Tamir-Tsetserleg,23799,Stone-uncl,173.0,Found,1956,47.45,101.47917,Stony Meteorites - Achondrites
Owasco,18060,L6,168.4,Found,1984,41.2,-103.68333,Stony Meteorites - Chondrites
Madoc,15381,"Iron, IIIAB",168.0,Found,1854,44.5,-77.46667,Iron Meteorites - Category I
Manlai,15407,"Iron, ungrouped",166.8,Found,1954,44.33333,106.5,Iron Meteorites - Category U (Uncategorized)
Djati-Pengilon,7652,H6,166.0,Fell,1884,-7.5,111.5,Stony Meteorites - Chondrites
São Julião de Moreira,23172,"Iron, IIAB",162.0,Found,1883,41.76611,-8.58361,Iron Meteorites - Category I
Knowles,12334,"Iron, IIIAB",161.0,Found,1903,36.9,-100.21667,Iron Meteorites - Category I
Tenham,23897,L6,160.0,Fell,1879,-25.73333,142.95,Stony Meteorites - Chondrites
Garabato,10856,H5,160.0,Found,1995,-28.86667,-60.2,Stony Meteorites - Chondrites
Qijiaojing,54610,"Iron, ungrouped",160.0,Found,2003,43.75,92.91667,Iron Meteorites - Category U (Uncategorized)
Mount Vernon,16806,"Pallasite, PMG",159.0,Found,1868,36.93333,-87.4,Stony-Iron Meteorites - Pallasites
Longchang,14695,"Iron, IVA-an",158.5,Found,1781,29.3,105.3,Iron Meteorites - Category IV
Kimble County,12311,H6,153.8,Found,1918,30.41667,-99.4,Stony Meteorites - Chondrites
Bluff (a),5087,L5,153.3,Found,1878,29.87861,-96.87222,Stony Meteorites - Chondrites
Glasatovo,10926,H4,152.0,Fell,1918,57.35,37.61667,Stony Meteorites - Chondrites
Forest City,10119,H5,152.0,Fell,1890,43.25,-93.66667,Stony Meteorites - Chondrites
Northwest Africa 5940,50826,H5-6,151.0,Found,2009,0.0,0.0,Stony Meteorites - Chondrites
Yardymly,30352,"Iron, IAB complex",150.2,Fell,1959,38.93333,48.25,Iron Meteorites - Category I
Magura,15388,"Iron, IAB-MG",150.0,Found,1840,49.33333,19.48333,Iron Meteorites - Category I
Jalu,12070,L6,150.0,Found,2000,27.95833,21.68333,Stony Meteorites - Chondrites
Olivenza,18013,LL5,150.0,Fell,1924,38.71667,-7.06667,Stony Meteorites - Chondrites
Mbale,15455,L5/6,150.0,Fell,1992,1.06667,34.16667,Stony Meteorites - Chondrites
Weston,24249,H4,150.0,Fell,1807,41.266667,-73.266667,Stony Meteorites - Chondrites
McKinney,15463,L4,150.0,Found,1870,33.18333,-96.71667,Stony Meteorites - Chondrites
Wiluna,24281,H5,150.0,Fell,1967,-26.59278,120.32833,Stony Meteorites - Chondrites
Tres Castillos,24047,"Iron, ungrouped",150.0,Found,1992,29.47,-105.8,Iron Meteorites - Category U (Uncategorized)
Montferré,16727,H5,149.0,Fell,1923,43.39056,1.9625,Stony Meteorites - Chondrites
Orange River (iron),18023,"Iron, IIIAB",148.8,Found,1855,-30.0,25.0,Iron Meteorites - Category I
Glorieta Mountain,10935,"Pallasite, PMG-an",148.0,Found,1884,35.6,-105.8,Stony-Iron Meteorites - Pallasites
Gilgoin,10915,H5,147.0,Found,1889,-30.38333,147.2,Stony Meteorites - Chondrites
Wichita County,24257,"Iron, IAB-MG",145.0,Found,1836,34.06667,-98.91667,Iron Meteorites - Category I
Molina,16715,H5,144.0,Fell,1858,38.11667,-1.16667,Stony Meteorites - Chondrites
El Sampal,7817,"Iron, IIIAB",142.0,Found,1973,-44.53333,-70.36667,Iron Meteorites - Category I
Keyes,12287,L6,142.0,Found,1939,36.71667,-102.5,Stony Meteorites - Chondrites
Tambo Quemado,23797,"Iron, IIIAB",141.0,Found,1950,-14.66667,-74.5,Iron Meteorites - Category I
Ysleta,30375,"Iron, ungrouped",140.7,Found,1914,31.65,-106.18333,Iron Meteorites - Category U (Uncategorized)
Selma,23486,H4,140.6,Found,1906,32.4,-87.0,Stony Meteorites - Chondrites
Ider,11999,"Iron, IIIAB",140.0,Found,1957,34.68333,-85.65,Iron Meteorites - Category I
Huizopa,11985,"Iron, IVA",140.0,Found,1907,28.9,-108.56667,Iron Meteorites - Category IV
Korra Korrabes,12347,H3,140.0,Found,1996,-25.2,18.08333,Stony Meteorites - Chondrites
Brainard,5131,"Iron, IIIAB",138.3,Found,1978,41.15333,-96.955,Iron Meteorites - Category I
Derrick Peak A78009,6685,"Iron, IIAB",138.1,Found,1978,-80.06667,156.38333,Iron Meteorites - Category I
Babb's Mill (Blake's Iron),4915,"Iron, ungrouped",136.0,Found,1876,36.3,-82.88333,Iron Meteorites - Category U (Uncategorized)
Cape of Good Hope,5261,"Iron, IVB",136.0,Found,1793,-33.5,26.0,Iron Meteorites - Category IV
Kesen,12286,H4,135.0,Fell,1850,38.98333,141.61667,Stony Meteorites - Chondrites
Colomera,5404,"Iron, IIE",134.0,Found,1912,37.43333,-3.65,Iron Meteorites - Category II
Carnegie,5278,L6,132.7,Found,1963,35.16667,-98.64389,Stony Meteorites - Chondrites
Araslanovo,2324,L/LL5,132.0,Found,1973,55.14167,48.2,Stony Meteorites - Chondrites
Yenberrie,30361,"Iron, IAB-MG",132.0,Found,1918,-14.25,132.01667,Iron Meteorites - Category I
Dong Ujimqin Qi,7706,Mesosiderite,128.8,Fell,1995,45.5,119.03333,Stony-Iron Meteorites - Mesosiderites
Chebankol,5335,"Iron, IAB-sHL",127.76,Found,1938,53.66667,88.0,Iron Meteorites - Category I
Ozona,18066,H6,127.5,Found,1929,30.73333,-101.3,Stony Meteorites - Chondrites
Carthage,5282,"Iron, IIIAB",127.0,Found,1840,36.26667,-85.98333,Iron Meteorites - Category I
Ensisheim,10039,LL6,127.0,Fell,1491,47.86667,7.35,Stony Meteorites - Chondrites
Dhofar 005,6704,L6,125.5,Found,2000,18.16667,54.16667,Stony Meteorites - Chondrites
Jiddat al Harasis 091,12150,L5,123.374,Found,2002,19.69362,56.65432,Stony Meteorites - Chondrites
Bur-Gheluai,5169,H5,120.0,Fell,1919,5.0,48.0,Stony Meteorites - Chondrites
Santiago Papasquiero,23169,"Iron, ungrouped",119.5,Found,1958,24.5,-106.0,Iron Meteorites - Category U (Uncategorized)
Youanmi,30373,"Iron, IIIAB",118.4,Found,1917,-29.5,118.75,Iron Meteorites - Category I
Duketon,7740,"Iron, IIIAB",118.3,Found,1948,-27.5,122.36667,Iron Meteorites - Category I
Scurry,23468,H5,118.0,Found,1937,32.5,-101.0,Stony Meteorites - Chondrites
Bencubbin,5014,CBa,118.0,Found,1930,-30.75,117.78333,Stony Meteorites - Achondrites
Para de Minas,18099,"Iron, IVA",116.3,Found,1934,-19.86667,-44.61667,Iron Meteorites - Category IV
Northwest Africa 6947,54510,H5,115.777,Found,2011,0.0,0.0,Stony Meteorites - Chondrites
Cleveland,5379,"Iron, IIIAB",115.0,Found,1860,34.88333,-84.78333,Iron Meteorites - Category I
Tafassasset,23779,CR-an,114.0,Found,2000,20.76333,10.44167,Stony Meteorites - Achondrites
Caperr,5263,"Iron, IIIAB",113.9,Found,1869,-45.28333,-70.48333,Iron Meteorites - Category I
Buenaventura,5162,"Iron, IIIAB",113.6,Found,1969,29.8,-107.55,Iron Meteorites - Category I
Gundaring,11452,"Iron, IIIAB",112.5,Found,1937,-33.3,117.66667,Iron Meteorites - Category I
Oakley (iron),17972,"Iron, IIIF",111.0,Found,1926,42.33333,-113.7,Other Categories
Florey,10112,H6,110.8,Found,1978,32.5225,-102.705,Stony Meteorites - Chondrites
Etosha,10061,"Iron, IC",110.7,Found,1970,-18.5,16.0,Other Categories
Lewis Cliff 85320,12790,H5,110.224,Found,1985,-84.26223,161.41628,Stony Meteorites - Chondrites
Sulagiri,48951,LL6,110.0,Fell,2008,12.66667,78.03333,Stony Meteorites - Chondrites
Mount Tazerzait,16804,L5,110.0,Fell,1991,18.7,4.8,Stony Meteorites - Chondrites
Lenarto,12763,"Iron, IIIAB",108.5,Found,1814,49.0,21.0,Iron Meteorites - Category I
Tiberrhamine,23985,L6,107.0,Found,1967,28.11667,0.53333,Stony Meteorites - Chondrites
Elbogen,7823,"Iron, IID",107.0,Fell,1399,50.18333,12.73333,Iron Meteorites - Category II
Abee,6,EH4,107.0,Fell,1952,54.21667,-113.0,Stony Meteorites - Chondrites
Zhovtnevyi,30407,H6,107.0,Fell,1938,47.58333,37.25,Stony Meteorites - Chondrites
Faith,10071,H5,105.0,Found,1952,45.33333,-102.08333,Stony Meteorites - Chondrites
Cook 001,5421,H5,105.0,Found,1989,-30.33333,130.53333,Stony Meteorites - Chondrites
Chico,5346,L6,104.8,Found,1954,36.5,-104.2,Stony Meteorites - Chondrites
Juncal,12211,"Iron, IIIAB",104.0,Found,1866,-26.0,-69.25,Iron Meteorites - Category I
Colby (Wisconsin),5395,L6,104.0,Fell,1917,44.9,-90.28333,Stony Meteorites - Chondrites
Molong,16716,"Pallasite, PMG",104.0,Found,1912,-33.28333,148.88333,Stony-Iron Meteorites - Pallasites
Udei Station,24101,"Iron, IAB-ung",103.0,Fell,1927,7.95,8.08333,Iron Meteorites - Category I
Rifle,22605,"Iron, IAB-MG",102.7,Found,1948,38.51667,-107.83333,Iron Meteorites - Category I
Seeläsgen,23474,"Iron, IAB-MG",102.0,Found,1847,52.26667,15.55,Iron Meteorites - Category I
Sevrukovo,23509,L5,101.0,Fell,1874,50.61667,36.6,Stony Meteorites - Chondrites
Zhongxiang,30406,Iron,100.0,Found,1981,31.2,112.5,Other Categories
Lutschaunig's Stone,14762,L6,100.0,Found,1861,-27.0,-70.0,Stony Meteorites - Chondrites
Franconia,10174,H5,100.0,Found,2002,34.71637,-114.22197,Stony Meteorites - Chondrites
Murchison,16875,CM2,100.0,Fell,1969,-36.61667,145.2,Stony Meteorites - Achondrites
Budulan,5161,Mesosiderite-B4,100.0,Found,1962,50.56667,114.9,Stony-Iron Meteorites - Mesosiderites
Gujba,11449,CBa,100.0,Fell,1984,11.49167,11.65833,Stony Meteorites - Achondrites
Tamdakht,48691,H5,100.0,Fell,2008,31.16333,-7.015,Stony Meteorites - Chondrites
Retuerta del Bullaque,56577,"Iron, IAB-MG",100.0,Found,1980,39.45889,-4.3775,Iron Meteorites - Category I
Bou Azarif,53812,H5,100.0,Found,2010,31.15643,-5.15262,Stony Meteorites - Chondrites
Kidairat,12300,H6,100.0,Fell,1983,14.0,28.0,Stony Meteorites - Chondrites
Paranaiba,18103,L6,100.0,Fell,1956,-19.13333,-51.66667,Stony Meteorites - Chondrites
Cook 007,5427,H4,100.0,Found,1989,-30.61667,130.41667,Stony Meteorites - Chondrites
Juancheng,12203,H5,100.0,Fell,1997,35.5,115.41667,Stony Meteorites - Chondrites
Anyujskij,2312,"Iron, IIAB",100.0,Found,1981,66.9,164.2,Iron Meteorites - Category I
Northwest Africa 4502,45481,CV3,100.0,Found,2005,0.0,0.0,Stony Meteorites - Achondrites
Chergach ,47347,H5,100.0,Fell,2007,23.69639,-5.01472,Stony Meteorites - Chondrites
Faucett,10077,H5,100.0,Found,1966,39.61667,-94.86667,Stony Meteorites - Chondrites
Chelyabinsk,57165,LL5,100.0,Fell,2013,54.81667,61.11667,Stony Meteorites - Chondrites
Pierceville (iron),18819,"Iron, IIIAB",100.0,Found,1917,37.86667,-100.66667,Iron Meteorites - Category I
Agoudal,57354,"Iron, IIAB",100.0,Found,2000,31.98457,-5.51528,Iron Meteorites - Category I
Dimitrovgrad,7644,"Iron, IIIAB",100.0,Found,1949,43.04639,22.86389,Iron Meteorites - Category I
Social Circle,23659,"Iron, IVA",99.3,Found,1927,33.7,-83.7,Iron Meteorites - Category IV
Steinbach,23722,"Iron, IVA-an",98.0,Found,1724,50.5,12.5,Iron Meteorites - Category IV
Palmas de Monte Alto,48959,"Iron, IIIAB",97.0,Found,1954,-14.3675,-43.02278,Iron Meteorites - Category I
Dar al Gani 749,6296,CO3,95.0,Found,1999,27.30167,15.7645,Stony Meteorites - Achondrites
Zavid,30396,L6,95.0,Fell,1897,44.4,19.11667,Stony Meteorites - Chondrites
Loreto,14705,"Iron, IIIAB",94.8,Found,1896,26.01667,-111.36667,Iron Meteorites - Category I
Weekeroo Station,24230,"Iron, IIE-an",94.2,Found,1924,-32.26667,139.86667,Iron Meteorites - Category II
Carver,5284,"Iron, IIAB",94.0,Found,1935,32.0,-86.0,Iron Meteorites - Category I
Concho,5417,L6,93.5,Found,1939,32.0,-101.5,Stony Meteorites - Chondrites
Machinga,15371,L6,93.2,Fell,1981,-15.21222,35.24222,Stony Meteorites - Chondrites
Watson 001,24221,"Iron, IIE",93.0,Found,1972,-30.5,131.55,Iron Meteorites - Category II
Jiddat al Harasis 090,12149,L5,92.667,Found,2002,19.71678,56.6062,Stony Meteorites - Chondrites
Karee Kloof,12259,"Iron, IAB-sLL",92.1,Found,1914,-31.6,25.8,Iron Meteorites - Category I
Laguna Manantiales,12413,Iron,92.0,Found,1945,-48.58333,-67.41667,Other Categories
Juvinas,12214,Eucrite-mmict,91.0,Fell,1821,44.71667,4.3,Stony Meteorites - Achondrites
Richardton,22599,H5,90.0,Fell,1918,46.88333,-102.31667,Stony Meteorites - Chondrites
ad-Dahbubah,376,H5,90.0,Found,1961,19.83333,51.25,Stony Meteorites - Chondrites
Mincy,16694,Mesosiderite-B4,89.4,Found,1857,36.55,-93.1,Stony-Iron Meteorites - Mesosiderites
Farmington,10074,L5,89.4,Fell,1890,39.75,-97.03333,Stony Meteorites - Chondrites
Bennett County,5022,"Iron, IIAB",89.0,Found,1934,43.5,-101.25,Iron Meteorites - Category I
San Angelo,23117,"Iron, IIIAB",88.0,Found,1897,31.41667,-100.35,Iron Meteorites - Category I
Mills,16687,H6,88.0,Found,1970,36.23,-104.11889,Stony Meteorites - Chondrites
Northwest Africa 6727,53763,L5,88.0,Found,2006,0.0,0.0,Stony Meteorites - Chondrites
Wagon Mound,24196,L6,87.5,Found,1932,35.84083,-104.58583,Stony Meteorites - Chondrites
Roebourne,22644,"Iron, IIIAB",86.86,Found,1892,-22.33333,118.0,Iron Meteorites - Category I
Bath Furnace,4975,L6,86.0,Fell,1902,38.25,-83.75,Stony Meteorites - Chondrites
Tulia (a),24066,H3-4,86.0,Found,1917,34.61667,-101.95,Stony Meteorites - Chondrites
Zapaliname,30392,"Iron, IAB-MG",85.0,Found,1998,25.00944,-100.75,Iron Meteorites - Category I
Juanita de Angeles,12204,H5,85.0,Found,1992,28.41667,-105.08333,Stony Meteorites - Chondrites
Kayakent,12268,"Iron, IIIAB",85.0,Fell,1961,39.26333,31.78,Iron Meteorites - Category I
Apoala,2317,"Iron, IIIAB",85.0,Found,1889,17.7,-97.0,Iron Meteorites - Category I
Gan Gan,10852,"Iron, IVA",83.0,Found,1984,-42.66667,-68.08333,Iron Meteorites - Category IV
Bruceville,5155,L6,83.0,Found,1998,38.295,-121.405,Stony Meteorites - Chondrites
Ness County (1894),16946,L6,82.0,Found,1894,38.5,-99.6,Stony Meteorites - Chondrites
Gretna,11201,L5,82.0,Found,1912,39.93333,-99.21667,Stony Meteorites - Chondrites
Renfrow,22588,L6,81.6,Found,1986,36.98667,-97.555,Stony Meteorites - Chondrites
Carlton,5277,"Iron, IAB-sLM",81.2,Found,1887,31.91667,-98.03333,Iron Meteorites - Category I
Ainsworth,422,"Iron, IIAB",80.65,Found,1907,42.6,-99.8,Iron Meteorites - Category I
Unter-Mässing,24124,"Iron, IIC",80.0,Found,1920,49.09028,11.33333,Iron Meteorites - Category II
Vera,24161,L/LL4,80.0,Found,1941,-29.91667,-60.28333,Stony Meteorites - Chondrites
Baygorria,4980,"Iron, IAB complex",80.0,Found,1994,-33.0,-56.0,Iron Meteorites - Category I
Soko-Banja,23661,LL4,80.0,Fell,1877,43.66667,21.86667,Stony Meteorites - Chondrites
Kernouve,12284,H6,80.0,Fell,1869,48.11667,-3.08333,Stony Meteorites - Chondrites
Mrirt,16819,Iron,79.9,Found,1937,33.13333,-5.56667,Other Categories
Belle Plaine,5004,L6,78.8,Found,1950,37.31667,-97.25,Stony Meteorites - Chondrites
Finmarken,10103,"Pallasite, PMG",78.3,Found,1902,70.0,24.0,Stony-Iron Meteorites - Pallasites
Parnallee,18108,LL3.6,77.6,Fell,1857,9.23333,78.35,Stony Meteorites - Chondrites
Jiddat al Harasis 230,35549,L5,77.0,Found,2005,19.7127,56.58277,Stony Meteorites - Chondrites
Moorumbunna,16739,"Iron, IIIAB",77.0,Found,1943,-28.91667,136.25,Iron Meteorites - Category I
Yelland Dry Lake,52641,H4,76.0,Found,2007,39.35067,-114.40783,Stony Meteorites - Chondrites
Northbranch,17010,H5,76.0,Found,1972,39.99167,-98.34167,Stony Meteorites - Chondrites
Augusta County,4897,"Iron, IIIAB",76.0,Found,1858,38.16667,-79.08333,Iron Meteorites - Category I
Tawallah Valley,23889,"Iron, IVB",75.75,Found,1939,-15.7,135.66667,Iron Meteorites - Category IV
Xingyang,24346,H6,75.5,Fell,1977,32.33333,114.31667,Stony Meteorites - Chondrites
Bayard,4978,L5,75.0,Found,1982,41.81667,-103.36667,Stony Meteorites - Chondrites
Acme,371,H5,75.0,Found,1947,33.63333,-104.26667,Stony Meteorites - Chondrites
Wolsey,24328,"Iron, IAB-MG",74.83,Found,1981,44.4,-98.53333,Iron Meteorites - Category I
Walker County,24204,"Iron, IIAB",74.8,Found,1832,34.0,-87.16667,Iron Meteorites - Category I
Tilden,23998,L6,74.8,Fell,1927,38.2,-89.68333,Stony Meteorites - Chondrites
Hunter,11987,LL5,74.6,Found,1962,36.56,-97.66667,Stony Meteorites - Chondrites
Ethiudna,10060,L4,74.318,Found,1977,-32.03333,139.78333,Stony Meteorites - Chondrites
Toufassour,47702,Mesosiderite,73.3,Found,2007,29.65225,-7.7493,Stony-Iron Meteorites - Mesosiderites
Nelson County,16942,"Iron, IIIF",73.03,Found,1856,37.75,-85.5,Other Categories
Uwharrie,24139,"Iron, IIIAB",72.7,Found,1930,35.51667,-79.96667,Iron Meteorites - Category I
Uruaçu,24131,"Iron, IAB-MG",72.5,Found,1992,-14.53333,-48.76667,Iron Meteorites - Category I
Isoulane-n-Amahar,12052,L6,72.0,Found,1945,27.12917,8.66722,Stony Meteorites - Chondrites
Mafuta,15384,"Iron, IID",71.5,Found,1984,-16.9025,30.40722,Iron Meteorites - Category II
Merua,15492,H5,71.4,Fell,1920,25.48333,81.98333,Stony Meteorites - Chondrites
Portales Valley,18874,H6,71.4,Fell,1998,34.175,-103.295,Stony Meteorites - Chondrites
Sierra Colorada,23588,L5,71.3,Found,1995,-40.8,-67.48333,Stony Meteorites - Chondrites
Tlacotepec,24013,"Iron, IVB",71.0,Found,1903,18.65,-97.55,Iron Meteorites - Category IV
