name,id,class,mass,fall,year,latitude,longitude,class_cat
Nan Yang Pao,16903,L6,52.9,Fell,1917,35.66667,103.5,Stony Meteorites - Chondrites
Ahumada,419,"Pallasite, PMG",52.6,Found,1909,30.7,-105.5,Stony-Iron Meteorites - Pallasites
Stannern,23713,Eucrite-mmict,52.0,Fell,1808,49.28333,15.56667,Stony Meteorites - Achondrites
Benjamin,5020,H4/5,51.8,Found,1969,33.58333,-99.8,Stony Meteorites - Chondrites
Grand Rapids,10955,"Iron, ungrouped",51.7,Found,1883,42.96667,-85.76667,Iron Meteorites - Category U (Uncategorized)
Ilimaes (iron),12022,"Iron, IIIAB",51.7,Found,1870,-26.0,-70.0,Iron Meteorites - Category I
Lancé,12455,CO3.5,51.7,Fell,1872,47.7,1.06667,Stony Meteorites - Achondrites
Leedey,12755,L6,51.5,Fell,1943,35.88333,-99.33333,Stony Meteorites - Chondrites
Mungindi,16872,"Iron, IAB-sLM",51.3,Found,1897,-28.93333,148.95,Iron Meteorites - Category I
Willow Creek,24276,"Iron, IIIE",51.0,Found,1914,43.46667,-106.76667,Iron Meteorites - Category II
La Grange,12399,"Iron, IVA",50.8,Found,1860,38.4,-85.36667,Iron Meteorites - Category IV
Davy (a),6616,L4,50.6,Found,1940,29.1,-97.6,Stony Meteorites - Chondrites
Richland,22601,"Iron, IIAB",50.6,Found,1951,31.9,-96.4,Iron Meteorites - Category I
Santa Vitoria do Palmar,35478,L3,50.4,Found,2003,-33.50944,-53.41083,Stony Meteorites - Chondrites
Northwest Africa 1581,17340,L6,50.2,Found,2001,31.38333,-4.25,Stony Meteorites - Chondrites
Winburg,24283,"Iron, IC-an",50.0,Found,1881,-28.5,27.0,Other Categories
Valera,24149,L5,50.0,Fell,1972,9.31667,-70.62833,Stony Meteorites - Chondrites
Wuan,24340,H6,50.0,Fell,1986,36.75,114.25,Stony Meteorites - Chondrites
Waconda,24195,L6,50.0,Found,1873,39.33333,-98.16667,Stony Meteorites - Chondrites
Hinojal,11887,L6,50.0,Found,1927,-32.36667,-60.15,Stony Meteorites - Chondrites
Ingella Station,12034,H5,50.0,Found,1987,-25.55,142.78333,Stony Meteorites - Chondrites
Dhofar 1654,55572,L5,50.0,Found,2011,18.67877,54.2876,Stony Meteorites - Chondrites
Akyumak,433,"Iron, IVA",50.0,Fell,1981,39.91667,42.81667,Iron Meteorites - Category IV
Hammadah al Hamra 153,11636,H3.8-4,50.0,Found,1995,28.60033,13.5775,Stony Meteorites - Chondrites
